balance,time,block
5773665.236,1648242592,8603416
5773634.526,1648220029,8582173
5786977.166,1648150125,8518444
6085376.638,1647778487,8199799
6089781.171,1647658573,8136070
6068702.838,1647877045,8263528
6042088.79,1647487671,8029855
6082362.685,1648001242,8369743
6091680.705,1647622415,8114827
5770145.114,1648344663,8667145
6084910.825,1648017971,8390986
5727720.635,1648486098,8773360
5773823.233,1648407712,8709631
6075960.784,1647911470,8284771
5789632.448,1648109449,8475958
5792788.313,1648174804,8539687
5732576.529,1648460020,8752117
5768988.772,1648274978,8624659
6109779.806,1648834058,9049519
6079154.995,1648851055,9070762
5684323.109,1648540405,8815846
6104896.673,1648073164,8433472
6102098.374,1648778658,9007033
5982749.333,1648663148,8922061
5770315.851,1648379410,8688388
6083687.792,1648878734,9113248
5990083.122,1648617934,8879575
5686902.027,1648568434,8837089
6090867.515,1648887569,9134491
5974120.138,1648641452,8900818
5981842.573,1648691655,8943304
5728500.986,1648512087,8794603
6086765.259,1648869812,9092005
6102209.1,1648811458,9028276
6006963.926,1648719882,8964547
5737103.892,1648433428,8730874
5773375.424,1648308948,8645902
6098966.008,1648910128,9176977
6149158.723,1649270988,9410650
5996666.773,1648745779,8985790
6089095.84,1649060394,9283192
5792741.133,1648595665,8858332
6125942.126,1649410568,9495622
6121327.214,1649092907,9304435
6082971.857,1648962156,9219463
6153439.203,1649488265,9538108
6137191.868,1649204973,9368164
6157553.005,1649339761,9453136
6138452.8,1649169714,9346921
6067342.732,1649721939,9665566
6140062.69,1649242823,9389407
6092339.063,1648927858,9198220
6120477.271,1649371299,9474379
6082740.715,1649762160,9686809
6173237.883,1649620084,9601837
6126945.782,1649129886,9325678
6140513.082,1649659856,9623080
6177243.39,1649576282,9580594
6164925.568,1649968492,9814267
6082762.151,1648993849,9240706
6126592.438,1649690227,9644323
6149926.828,1649866914,9750538
6163774.608,1649527401,9559351
6091881.478,1648898691,9155734
6077426.881,1649794364,9708052
6140810.302,1649444033,9516865
6088517.77,1649025103,9261949
6165326.205,1649944046,9793024
6197218.592,1650311595,10047940
6179787.103,1650284734,10026697
6188315.051,1650094608,9899239
6183227.9,1650159670,9941725
6125685.989,1649835598,9729295
6168243.929,1649907688,9771781
6095693.31,1647700206,8157313
6177682.721,1650053470,9877996
6189240.331,1650124395,9920482
6170567.144,1650020911,9856753
6147445.113,1649305255,9431893
6175590.001,1650451302,10175398
6162599.905,1650000035,9835510
6175356.399,1650431472,10154155
6173464.33,1650192803,9962968
6154477.592,1650600381,10302856
6180557.286,1650674273,10366585
6190522.534,1650420449,10132912
6159063.062,1650626479,10324099
6165681.299,1650729860,10409071
6155297.037,1650497971,10217884
6175228.305,1650219879,9984211
6142578.417,1650822675,10472800
6156401.888,1650942633,10557772
6130986.105,1650858605,10494043
6130963.006,1650764516,10430314
6172019.476,1651029110,10621501
6139878.602,1650885435,10515286
6202523.643,1650363710,10090426
6156810.053,1650651964,10345342
6155168.358,1651226860,10812688
6161401.831,1651315682,10897660
6155249.833,1651334059,10918903
6158265.56,1651245425,10833931
6151870.731,1651179601,10770202
6153869.761,1651463785,11003875
