Date,Swap,Margin trading,Mint GLP,Burn GLP,Liquidation,Cumulative
2022-04-17,5334.673698754925,7329.985190661491,1374.339578923052,627.1089048904727,102.60912186241421,10421197.064250544
2022-04-18,13183.609909203262,36539.0661790746,2455.104595067214,1116.2551783325712,4081.399079816336,10478572.499192039
2022-04-19,9181.91376107081,40069.29268903339,2161.537356415062,2141.775934783682,158.18303836458654,10532285.201971706
2022-04-20,6976.011265772279,35021.992852731724,290.6160449109354,1438.3602082885318,31.96204345011938,10576044.14438686
2022-04-21,6877.464794892003,44182.523340490974,1090.7090507170076,1536.086548490849,182.74257866994594,10629913.67070012
2022-04-22,8961.954896204485,17098.237049868854,990.4677526612146,943.3670999425143,7.834076236529654,10657915.531575033
2022-04-23,9521.409575813377,11415.28273017432,1080.0574052015143,538.7139558410184,923.5515616848952,10681394.546803748
2022-04-24,9690.11107422109,20288.629661252042,266.6849439065568,936.4354813855631,27221.458833755856,10739797.866798269
2022-04-25,15920.007178448797,64271.442021499715,690.6115606244629,4412.909993197645,3952.5952653355853,10829045.432817375
2022-04-26,10945.986150081655,27869.675521174766,562.1012938955475,859.9842552696448,76.19990845317079,10869359.37994625
2022-04-27,15771.228666515093,42246.42761336907,276.75740840195584,2627.2481616675095,27.15146395478223,10930308.19326016
2022-04-28,8879.187779500273,40547.72464847391,1422.7426087433369,227.385847615315,405.623308312046,10981790.857452804
2022-04-29,6804.579458923552,28639.44144763525,3308.752052704193,1499.888008529431,2524.0355328905825,11024567.553953487
2022-04-30,11273.020601359509,23588.87006743872,1719.3608408873815,3832.4651687402143,3852.5555721168494,11068833.82620403
2022-05-01,7751.657153019533,34806.340588700295,2660.2344341485145,1580.8427983626616,358.21515781524795,11115991.116336076
2022-05-02,14359.377589562499,50437.82039875267,1449.77738949039,413.8991278519562,48.82284728175,11182700.813689014
2022-05-03,6357.466087372564,26035.75600723853,1348.1477514419332,4810.204216292899,56.153940035499545,11221308.541691395
2022-05-04,13372.95230784972,42134.26201479446,679.4839238654538,103.16639422668088,160.60368115445453,11277759.010013286
2022-05-05,29452.384966020632,53212.183899950054,2211.937711680838,594.5256258333754,204.86965096683707,11363434.911867738
2022-05-06,20640.61148515059,44145.67695762907,3565.3313654937833,904.5688623087692,244.573472639604,11432935.67401096
2022-05-07,15801.854296834917,32220.6430792216,1856.215599242127,984.8478329147176,571.2506213663037,11484370.48544054
2022-05-08,23992.03977080572,69546.77832686316,1256.7304306423264,1832.4365571758092,2100.181457734914,11583098.65198376
2022-05-09,78724.21110881407,151564.78474907324,3014.3030392172323,7200.417811189555,10377.895823610248,11833980.264515664
2022-05-10,78683.75630173479,143105.75814011908,2179.6205203884247,1141.984880861557,1193.4125008079573,12060284.796859575
2022-05-11,236290.84821313896,91235.93901414433,1634.088088884575,9739.530351814288,6490.989097094498,12405676.191624653
2022-05-12,151456.19417797544,53720.88747454192,616.3834447358572,12790.829739240537,2116.1650230557207,12626376.651484203
2022-05-13,51476.09518264642,54235.47169222192,1530.0558420364614,9967.871821149669,3577.379201208634,12747163.525223466
2022-05-14,11629.584623897765,10387.550295996403,1417.4451900889824,974.7027390779398,168.3323090353406,12771741.140381562
2022-05-15,7047.281104448655,10127.235632678272,539.8313721050247,422.0828960778235,27.384564921814672,12789904.955951793
2022-05-16,12708.44816720878,32103.038880953347,1854.8865183667979,390.4448524656879,130.69755030094893,12837092.471921088
2022-05-17,37732.43349063715,30468.535284938425,367.4640862689268,929.3147736763568,220.50828761813682,12906810.727844227
2022-05-18,16846.934253250398,27459.92373669451,355.37939256743516,1909.939894075458,129.02306005441642,12953511.92818087
2022-05-19,19725.62599927361,33707.52868112808,2705.5671687044437,672.5425980214576,105.68391854398942,13010428.876546541
2022-05-20,20091.337844953418,28211.211597686175,2069.060054168455,296.36287693460093,57.20100660350363,13061154.049926888
2022-05-21,6155.703908234751,11133.560779431977,769.4114678427815,218.97674106235897,850.0711775162072,13080281.774000976
2022-05-22,5540.093643086055,11508.12732566648,1062.4573804065167,542.3704407961487,26.506700197463942,13098961.32949113
2022-05-23,10388.822594117892,75285.54477193824,5825.5947387233255,489.54813136164483,195.810971869083,13191146.650699139
2022-05-24,5402.294138392731,19734.60081980854,2351.9145490899127,2185.5130197579983,2207.331602401995,13223028.30482859
2022-05-25,22113.15129705643,19848.904549310664,270.9892805045451,14447.84758373912,348.71575112256323,13280057.913290324
2022-05-26,18977.37321610053,51076.012586261946,2085.796226396481,6831.216764742399,6234.002121797443,13365262.314205622
2022-05-27,65457.334884129785,48089.967669977625,1990.4117465124525,6641.816946956655,670.7468572602374,13488112.592310458
