rate,time,block,mpl_staked,xmpl_supply
1.00175837,1654908638,14941460,2419990.412,2415742.643
1.001754366,1654904848,14941212,2420393.463,2416154.643
1.001778304,1654927496,14942700,2417820.159,2413528.171
1.001770412,1654920032,14942204,2417801.11,2413528.171
1.001773997,1654923422,14942452,2417809.762,2413528.171
1.001762733,1654912768,14941708,2420000.953,2415742.643
1.001786275,1654935034,14943196,2417839.397,2413528.171
1.001789871,1654938434,14943444,2417848.075,2413528.171
1.00165445,1654810212,14934764,2421253.809,2417254.582
1.00179767,1654945809,14943940,2417430.757,2413092.812
1.001626702,1654783930,14933028,2421186.733,2417254.582
1.001782187,1654931168,14942948,2417829.531,2413528.171
1.001801703,1654949622,14944188,2417440.488,2413092.812
1.001812655,1654959978,14944932,2417585.526,2413211.206
1.001766556,1654916385,14941956,2418228.008,2413963.607
1.001805371,1654953090,14944436,2417562.947,2413206.215
1.001824542,1654971209,14945676,2415210.296,2410811.669
1.001816566,1654963674,14945180,2415591.622,2411211.496
1.001820477,1654967369,14945428,2415601.052,2411211.496
1.001832071,1654978322,14946172,2417048.747,2412628.64
1.0018283,1654974759,14945924,2415219.356,2410811.669
1.00183931,1654985165,14946668,2417074.003,2412636.417
1.00184698,1654992416,14947164,2417056.443,2412600.417
1.001835612,1654981669,14946420,2417057.289,2412628.64
1.001843162,1654988806,14946916,2417047.23,2412600.417
1.001851119,1654996327,14947412,2415238.472,2410775.84
1.001855426,1655000396,14947660,2415248.857,2410775.84
1.001862961,1655007513,14948156,2415267.02,2410775.84
1.001859349,1655004101,14947908,2415258.313,2410775.84
1.001870121,1655014277,14948652,2415083.922,2410575.852
1.001866606,1655010956,14948404,2415275.807,2410775.84
1.001886336,1655029592,14949644,2415123.008,2410575.852
1.001882372,1655025848,14949396,2415113.453,2410575.852
1.001878453,1655022146,14949148,2415104.005,2410575.852
1.001874278,1655018203,14948900,2415093.942,2410575.852
1.001890257,1655033296,14949892,2415132.461,2410575.852
1.001894349,1655037161,14950140,2415142.325,2410575.852
1.001901499,1655043914,14950636,2415169.123,2410585.397
1.001809058,1654956576,14944684,2417571.844,2413206.215
1.001794,1654942339,14943692,2417381.001,2413051.985
1.001909177,1655051161,14951132,2406146.678,2401561.671
1.001916819,1655058352,14951628,2406165.031,2401561.671
1.001905349,1655047551,14950884,2415539.363,2410945.669
1.001913153,1655054902,14951380,2406156.226,2401561.671
1.001924903,1655065959,14952124,2406190.503,2401567.718
1.001920424,1655061744,14951876,2406173.688,2401561.671
1.00192853,1655069372,14952372,2406070.252,2401439.004
1.001932633,1655073232,14952620,2406080.103,2401439.004
1.001940289,1655080436,14953116,2406098.489,2401439.004
1.001897891,1655040506,14950388,2415150.862,2410575.852
1.001936585,1655076951,14952868,2406089.595,2401439.004
1.001948311,1655087985,14953612,2406117.755,2401439.004
1.001952319,1655091743,14953860,2396202.094,2391533.059
1.001944488,1655084387,14953364,2406108.573,2401439.004
1.001956295,1655095469,14954108,2396211.603,2391533.059
1.001964211,1655102887,14954604,2396230.535,2391533.059
1.001979725,1655117387,14955596,2385144.345,2380431.745
1.001968412,1655106821,14954852,2390873.139,2386176.162
1.001960309,1655099230,14954356,2396221.202,2391533.059
1.001975975,1655113887,14955348,2387072.002,2382364.509
1.001972056,1655110228,14955100,2389166.806,2384464.509
1.001988001,1655125106,14956092,2385164.045,2380431.745
1.001983722,1655121115,14955844,2385153.859,2380431.745
1.001991865,1655128705,14956340,2375639.172,2370916.626
1.002003754,1655139747,14957084,2375303.926,2370553.919
1.001995898,1655132451,14956588,2375572.543,2370840.588
1.002011149,1655146631,14957580,2380721.495,2375943.119
1.002019274,1655154195,14958076,2380740.8,2375943.119
1.002015256,1655150454,14957828,2380731.252,2375943.119
1.002007521,1655143253,14957332,2380712.874,2375943.119
1.001999984,1655136246,14956836,2373575.271,2368837.633
1.002027084,1655161455,14958572,2376754.537,2371946.403
1.002023256,1655157897,14958324,2376745.457,2371946.403
1.002030874,1655164978,14958820,2377013.529,2372195.897
1.002051436,1655184090,14960060,2377376.811,2372509.758
1.002043484,1655176698,14959564,2376879.495,2372032.285
1.002039101,1655172624,14959316,2376886.455,2372049.607
1.002055502,1655187869,14960308,2377386.455,2372509.758
1.002067869,1655199366,14961052,2377415.797,2372509.758
1.00203487,1655168692,14959068,2376876.42,2372049.607
1.0020719,1655203113,14961300,2377425.36,2372509.758
1.002063536,1655195338,14960804,2377405.517,2372509.758
1.002059482,1655191569,14960556,2377395.898,2372509.758
1.002080078,1655210716,14961796,2377444.764,2372509.758
1.002075918,1655206848,14961548,2377434.892,2372509.758
1.002088033,1655218111,14962292,2377465.982,2372512.098
1.002083842,1655214215,14962044,2377453.694,2372509.758
1.002092538,1655222298,14962540,2376613.006,2371650.237
1.002100166,1655229386,14963036,2376631.096,2371650.237
1.002096394,1655225881,14962788,2376622.15,2371650.237
1.002103986,1655232936,14963284,2376648.156,2371658.22
1.002115239,1655243393,14964028,2376787.393,2371770.532
1.002107775,1655236457,14963532,2376657.142,2371658.22
1.00211141,1655239835,14963780,2376665.763,2371658.22
1.002123168,1655250762,14964524,2376806.2,2371770.532
1.002119005,1655246893,14964276,2376796.326,2371770.532
1.002127316,1655254617,14964772,2376816.039,2371770.532
1.002135591,1655262308,14965268,2377635.667,2372568.83
1.002143518,1655269677,14965764,2377654.474,2372568.83
1.002147606,1655273478,14966012,2377664.175,2372568.83
1.002131315,1655258333,14965020,2376825.522,2371770.532
1.002155696,1655280993,14966508,2373846.719,2368740.435
1.002151796,1655277373,14966260,2377144.583,2372040.435
1.002047349,1655180290,14959812,2376867.112,2372010.779
1.00215986,1655284858,14966756,2373856.583,2368740.435
1.002164347,1655289022,14967004,2373867.21,2368740.435
1.002167979,1655292387,14967252,2367355.536,2362234.261
1.002172249,1655296339,14967500,2367527.346,2362395.635
1.002180312,1655303792,14967996,2362393.409,2357253.861
1.002176651,1655300411,14967748,2362384.781,2357253.861
1.002188005,1655310897,14968492,2356613.625,2351468.601
1.002184,1655307199,14968244,2362552.258,2357403.688
1.002191907,1655314493,14968740,2356621.801,2351467.601
1.002203917,1655325558,14969484,2356682.158,2351499.649
1.002199747,1655321716,14969236,2356672.353,2351499.649
1.002196085,1655318342,14968988,2356631.624,2351467.601
1.002211819,1655332839,14969980,2356700.74,2351499.649
1.002207838,1655329171,14969732,2356691.379,2351499.649
1.002215885,1655336585,14970228,2356710.301,2351499.649
1.002219757,1655340153,14970476,2356719.407,2351499.649
1.002223831,1655343907,14970724,2356728.987,2351499.649
1.00222752,1655347306,14970972,2357090.953,2351852.155
1.002235609,1655354760,14971468,2357114.234,2351856.402
1.002231497,1655350971,14971220,2357104.564,2351856.402
1.002239654,1655358488,14971716,2358124.715,2352855.133
1.002243756,1655362269,14971964,2358134.365,2352855.133
1.002247529,1655365748,14972212,2358143.244,2352855.133
1.002252085,1655369948,14972460,2358145.2,2352846.389
1.002260187,1655377418,14972956,2358441.446,2353122.947
1.002263952,1655380889,14973204,2358450.304,2353122.947
1.002256404,1655373930,14972708,2358311.892,2353002.567
1.002275684,1655391706,14973948,2358477.911,2353122.947
1.002283325,1655398751,14974444,2358425.313,2353052.53
1.002279401,1655395133,14974196,2358486.657,2353122.947
1.002268164,1655384773,14973452,2358460.217,2353122.947
1.002139439,1655265885,14965516,2377644.796,2372568.83
1.002272131,1655388430,14973700,2358469.55,2353122.947
1.00228727,1655402389,14974692,2358825.261,2353442.302
1.002295111,1655409619,14975188,2358437.96,2353037.478
1.002299324,1655413503,14975436,2358447.873,2353037.478
1.002307605,1655421139,14975932,2358836.475,2353405.743
1.002303604,1655417449,14975684,2358605.531,2353184.726
1.00232359,1655435878,14976924,2358711.51,2353243.537
1.002311583,1655424807,14976180,2358845.836,2353405.743
1.002319564,1655432166,14976676,2358702.036,2353243.537
